Model,MAPE,MAE,Precision,Recall,F1 Score,Train Accuracy,Test Accuracy,R2 Score,RMSE,ROC-AUC
RandomForest,0.012,0.012,0.988,0.988,0.988,1.0,0.988,0.9517211413122194,0.10954451150103323,0.9879302853280547
GradientBoosting,0.008,0.008,0.9920365208725145,0.992,0.9920023160061759,1.0,0.992,0.9678140942081462,0.08944271909999159,0.9922592896570591
SVM,0.13,0.13,0.8703466872110939,0.87,0.8700861753799549,0.924,0.87,0.4769790308823766,0.36055512754639896,0.8700091729831506
NaiveBayes,0.54,0.54,0.392206572769953,0.46,0.29460972850678724,0.5175,0.46,-1.172548640950128,0.7348469228349535,0.49752973173047516
KNN,0.096,0.096,0.9041823509413802,0.904,0.9038574817253232,0.9315,0.904,0.613769130497755,0.30983866769659335,0.9022192182043484
AdaBoost,0.014,0.014,0.9860830923462501,0.986,0.9860059089538741,0.999,0.986,0.943674664864256,0.11832159566199232,0.9863773153735979
Bagging,0.028,0.028,0.9720474514153445,0.972,0.972008106021616,0.998,0.972,0.8873493297285119,0.1673320053068151,0.9721430985371505
ExtraTrees,0.01,0.01,0.9900800077115867,0.99,0.9900042206813384,1.0,0.99,0.9597676177601828,0.1,0.9904005535975797
LogisticRegression,0.164,0.164,0.8367443530675388,0.836,0.8361580088317944,0.86,0.836,0.3401889312669981,0.4049691346263318,0.83627029723684
MLP,0.044,0.044,0.9563438417480868,0.956,0.9560339309812994,0.9825,0.956,0.8229775181448044,0.20976176963403032,0.9566616778512689
